nom,gouvernorat,latitude,longitude,specialite,telephone,adresse
Hopital Razi,La Manouba,36.8087,10.0959,psychiatrie,+216 71 600 071,Avenue de l Hopital Razi Manouba
Service Psychiatrie CHU La Rabta,Tunis,36.8029,10.1551,psychiatrie,+216 71 578 888,Rue Jebel Lakhdhar La Rabta Tunis
Service Psychiatrie CHU Hedi Chaker,Sfax,34.7398,10.7609,psychiatrie,+216 74 246 500,Route El Ain Sfax
Hopital Charles Nicolle,Tunis,36.8067,10.1658,urgences,+216 71 578 000,Boulevard du 9 Avril Tunis
Institut National de Neurologie Mongi Ben Hamida,Tunis,36.8061,10.1648,neurologie,+216 71 562 483,Rue Jebel Lakhdhar Tunis
Hopital Habib Thameur,Tunis,36.7961,10.1749,urgences,+216 71 397 000,Rue Ali Ben Ayed Tunis
Hopital Militaire Principal de Tunis,Tunis,36.8172,10.1872,general,+216 71 860 000,Montfleury Tunis
Hopital Mongi Slim,La Marsa,36.8788,10.3242,urgences,+216 71 764 033,La Marsa Tunis
Centre Hospitalo-Universitaire Fattouma Bourguiba,Monastir,35.7774,10.8262,urgences,+216 73 460 411,Avenue 1 Juin Monastir
Hopital Universitaire Sahloul,Sousse,35.8376,10.5950,neurologie,+216 73 369 000,Sahloul Sousse
Hopital Farhat Hached,Sousse,35.8296,10.6402,general,+216 73 221 411,Avenue Ibn El Jazzar Sousse
Hopital Habib Bourguiba Sfax,Sfax,34.7231,10.7467,general,+216 74 240 400,Route El Ain Sfax
Hopital Universitaire Taher Sfar,Mahdia,35.5058,11.0491,urgences,+216 73 680 000,Avenue Taher Sfar Mahdia
Hopital Universitaire Ibn El Jazzar,Kairouan,35.6807,10.1016,general,+216 77 226 300,Avenue Ibn El Jazzar Kairouan
Hopital Regional de Nabeul,Nabeul,36.4560,10.7376,urgences,+216 72 285 022,Avenue Habib Thameur Nabeul
Hopital Regional de Bizerte,Bizerte,37.2746,9.8739,general,+216 72 431 633,Avenue Habib Bourguiba Bizerte
Hopital Regional de Beja,Beja,36.7283,9.1906,general,+216 78 450 022,Avenue Habib Bourguiba Beja
Hopital Regional de Jendouba,Jendouba,36.5011,8.7804,urgences,+216 78 600 018,Avenue de l Environnement Jendouba
Hopital Regional du Kef,Le Kef,36.1747,8.7049,general,+216 78 200 022,Avenue Mongi Slim Le Kef
Hopital Regional de Siliana,Siliana,36.0836,9.3708,general,+216 78 870 025,Avenue de l Hopital Siliana
Hopital Regional de Zaghouan,Zaghouan,36.4000,10.1420,general,+216 72 675 033,Avenue Habib Bourguiba Zaghouan
Hopital Regional de Ben Arous,Ben Arous,36.7534,10.2272,urgences,+216 71 380 000,Route de Tunis Ben Arous
Hopital Regional de Ariana,Ariana,36.8665,10.1956,general,+216 71 707 000,Avenue Hedi Nouira Ariana
Clinique Les Jasmins,Tunis,36.8379,10.2017,neurologie,+216 71 783 000,Centre Urbain Nord Tunis
Clinique El Amen La Marsa,Ariana,36.8500,10.1934,urgences,+216 71 758 000,Les Berges du Lac Tunis
Hopital Regional de Medenine,Medenine,33.3549,10.5055,general,+216 75 640 022,Avenue Habib Bourguiba Medenine
Hopital Regional de Gabes,Gabes,33.8815,10.0982,urgences,+216 75 270 000,Avenue Farhat Hached Gabes
Hopital Regional de Gafsa,Gafsa,34.4251,8.7842,general,+216 76 224 111,Avenue Habib Bourguiba Gafsa
Hopital Regional de Tozeur,Tozeur,33.9186,8.1292,general,+216 76 452 000,Avenue Ibn Chabbat Tozeur
Hopital Regional de Tataouine,Tataouine,32.9297,10.4518,urgences,+216 75 870 022,Avenue de l Hopital Tataouine
